Name,Address,City,Zipcode,Statea
"County Sheriff Civil Enfrcmnt","1035 Palm St","San Luis Obispo","93408-1000","CA"
"Modoc County Sheriff","102 S Court St","Alturas","96101-4063","CA"
"County Sheriff","1020 E Palmdale Blvd","Palmdale","93550-4738","CA"
"Police-Crime Prevention-Dare","10200 Slater Ave","Fountain Valley","92708-4736","CA"
"Los Angeles Police Dept","10250 Etiwanda Ave","Northridge","91325-1099","CA"
"San Diego Police Dept","1040 University Ave","San Diego","92103-7328","CA"
"Los Angeles County Criminal Ct","1040 W Avenue J","Lancaster","93534-3329","CA"
"Duarte Sheriff","1042 Huntington Dr","Duarte","91010-2449","CA"
"San Luis Obispo Police Dept","1042 Walnut St","San Luis Obispo","93401-2729","CA"
"San Diego County Sheriff Dept","10440 Black Mountain Rd","San Diego","92126-2910","CA"
"El Cerrito Police Dept","10900 San Pablo Ave","El Cerrito","94530-2391","CA"
"Downey City Police Dept","10911 Brookshire Ave","Downey","90241-3847","CA"
"Barona Tribal Enforcement","1095 Barona Rd","Lakeside","92040-1541","CA"
"South Orange County Sheriff","11 Journey","Aliso Viejo","92656-3333","CA"
"Los Gatos Police","110 E Main St","Los Gatos","95030-6900","CA"
"Los Angeles County Sheriff","110 N Grand Ave","Los Angeles","90012-3014","CA"
"Ventura Police Dept","110 N Olive St # K","Ventura","93001-2570","CA"
"Santa Cruz County Sheriff","100 Rountree Ln","Watsonville","95076-9426","CA"
"Sonora Police Dept","100 S Green St","Sonora","95370-4643","CA"
"Pismo Beach Police Dept","1000 Bello St","Pismo Beach","93449-4305","CA"
"Tracy Police Dept","1000 Civic Center Dr","Tracy","95376-4079","CA"
"Los Banos Police Garage","1000 G St","Los Banos","93635-3786","CA"
"Albany Police Dept","1000 San Pablo Ave","Albany","94706-2296","CA"
"Mountain View Police Dept","1000 Villa St","Mountain View","94041-1238","CA"
"Fairfield Police Dept-Records","1000 Webster St","Fairfield","94533-4836","CA"
"Kings County Sheriff","1001 Chittenden Ave","Corcoran","93212-2406","CA"
"Manteca Police Dept","1001 W Center St","Manteca","95337-4302","CA"
"Los Angeles Cnty Sheriff-Civil","10025 Flower St","Bellflower","90706-5499","CA"
"Long Beach Police-Storefront","1004 E 7th St","Long Beach","90813-4802","CA"
