Name,Address,City,Zipcode,Statea
"Moraga Town Police Dept","350 Rheem Blvd","Moraga","94556-1591","CA"
"Los Angeles County Sheriff","350 W Mission Blvd # 109","Pomona","91766-1607","CA"
"Marin County Sheriff's Dept","3501 Civic Center Dr # 145","San Rafael","94903-4167","CA"
"Monterey Police Patrol Div","351 Madison St","Monterey","93940-2613","CA"
"Combat","351 Main St","Brawley","92227-2419","CA"
"Westmorland City Police Dept","355 S Center St","Westmorland","92281-0000","CA"
"Sacramento Police Dept","3550 Marysville Blvd","Sacramento","95838-4515","CA"
"Tulare County Sheriff-Juvenile","36008 Road 112","Visalia","93291-9517","CA"
"Mono County Sheriff","3609 Crowley Lake Dr","Crowley Lake","93546-0000","CA"
"Huron Police Dept","36389 S Lassen Ave","Huron","93234-0000","CA"
"Riverside Police Dept-Magnolia","3647 Riverside Plz","Riverside","92506-2722","CA"
"Monterey Police Chief","366 Madison St","Monterey","93940-0000","CA"
"Lafayette Police Dept","3675 Mt Diablo Blvd # 130","Lafayette","94549-3774","CA"
"Camarillo Police Dept","3701 Las Posas Rd","Camarillo","93010-1408","CA"
"Modesto Police Dept-NE Area","3705 Oakdale Rd","Modesto","95357-0723","CA"
"Newark Police Dept-Evidence","37101 Newark Blvd","Newark","94560-3727","CA"
"San Diego Police Dept","3750 Sports Arena Blvd # 3","San Diego","92110-5133","CA"
"San Diego County Sheriff","378 Sheridan Rd","Campo","91906-0000","CA"
"Fresno Police Dept","3789 N Hughes Ave","Fresno","93705-2341","CA"
"Tulare County Sheriff's Office","379 N 3rd St","Porterville","93257-3854","CA"
"Galt Police Dept-Detectives","380 Civic Dr","Galt","95632-2039","CA"
"Riverside Police Dept","3816 La Sierra Ave","Riverside","92505-3528","CA"
"Imperial County Sheriff","383 Main St","Brawley","92227-2414","CA"
"San Diego Police Dept","3840 Valley Centre Dr","San Diego","92130-3306","CA"
"Oceanside Police Dept","3855 Mission Ave","Oceanside","92054-1882","CA"
"Broadmoor Police Dept","388 88th St","Daly City","94015-1717","CA"
"Fallbrook Sheriffs Dept","388 Alvarado St","Fallbrook","92028-0000","CA"
"Riverside Community Police Rvw","3900 Main St","Riverside","92522-0001","CA"
"Simi Valley Police Station","3901 Alamo St","Simi Valley","93063-2102","CA"
"Humboldt County Sheriff's Ofc","39043 Highway 299","Willow Creek","95573-0000","CA"
"San Diego Police Dept","3905 Adams Ave","San Diego","92116-2232","CA"
"Alameda County Criminal Court","39439 Paseo Padre Pkwy","Fremont","94538-4742","CA"
"Hollister Police Dept","395 Apollo Way","Hollister","95023-2557","CA"
"Riverside Police Dept","3956 University Ave","Riverside","92501-3230","CA"
"San Diego Police Dept","3960 30th St","San Diego","92104-3005","CA"
"Police Dept-Silent Witness","39710 Civic Center Dr","Fremont","94538-2359","CA"
"San Diego County Sheriff","39919 Highway 94","Boulevard","91905-0000","CA"
"Kern County Sheriff's Dept","400 California","Maricopa","93252-0000","CA"
"Los Angeles County Sheriff","400 Civic Center Plz # 705","Pomona","91766-3201","CA"
"San Mateo County Sheriff Emer","400 County Ctr","Redwood City","94063-1668","CA"
"Imperial Police Dept","400 S Imperial Ave","Imperial","92251-1637","CA"
"Criminal Justice Council","400 Van Ness Ave # 424","San Francisco","94102-4602","CA"
"S F Sheriff's Dept","400 Van Ness Ave # 456","San Francisco","94102-4602","CA"
"Long Beach Police-South Div","400 W Broadway # 231","Long Beach","90802-4401","CA"
"Long Beach Police Dept-Traffic","400 W Broadway # 235","Long Beach","90802-4401","CA"
"Long Beach Police-Patrol Adm","400 W Broadway # 261","Long Beach","90802-4401","CA"
"Long Beach Police Reserve Ofc","400 W Broadway # 262","Long Beach","90802-4401","CA"
"Long Beach Chief Of Police Ofc","400 W Broadway # 328","Long Beach","90802-4401","CA"
"Long Beach Police-Narcotics","400 W Broadway # 334","Long Beach","90802-4401","CA"
"Long Beach Police Dept-Vice","400 W Broadway # 336","Long Beach","90802-4401","CA"
"Automobile-Theft","400 W Broadway # 339","Long Beach","90802-4401","CA"
"Long Beach Police-Property","400 W Broadway Fl 5","Long Beach","90802-4401","CA"
"Long Beach Police Dept Adm","400 W Broadway","Long Beach","90802-4401","CA"
"Murrieta Police Dept","40080 California Oaks Rd","Murrieta","92562-3862","CA"
"Richmond Police Dept","401 27th St","Richmond","94804-1792","CA"
"Police Dept-Records","401 Diamond St","Redondo Beach","90277-2836","CA"
"Placentia Police-Crime Prvntn","401 E Chapman Ave","Placentia","92870-6101","CA"
"County Sheriff","401 Escobar St","Martinez","94553-1516","CA"
"Modesto Police Dept-SW Area","401 Paradise Rd # D","Modesto","95351-3104","CA"
"Kern County Sheriffs Dept","401 W Kern Ave","Mc Farland","93250-1352","CA"
"Ojai Police Dept","402 S Ventura St","Ojai","93023-3249","CA"
"Riverside County Sheriff Dept","403 E 4th St","Perris","92570-2230","CA"
"Piedmont Police Detectives","403 Highland Ave","Piedmont","94611-4025","CA"
"Culver City Police Dept","4040 Duquesne Ave","Culver City","90232-2804","CA"
"San Bernardino Sheriff's Dept","4050 Phelan Rd # 2","Phelan","92371-4454","CA"
"San Bernardino County Sheriff","4050 Phelan Rd","Phelan","92371-4454","CA"
"Rocklin Police Dept","4060 Rocklin Rd","Rocklin","95677-2722","CA"
"Madera County Sheriff's Dept","40601 Road 274","Bass Lake","93604-9715","CA"
"Trinidad Police Dept","409 Trinity St","Trinidad","95570-0000","CA"
"Riverside County Sheriff","4095 Lemon St","Riverside","92501-3600","CA"
"Riverside County Criminal Div","4100 Main St","Riverside","92501-3626","CA"
"Airport Terminal Police","41000 20th St E","Palmdale","93550-2111","CA"
"Riverside Police Dept","4102 Orange St","Riverside","92501-3671","CA"
"Yreka Police Dept","412 W Miner St","Yreka","96097-2899","CA"
"Sheriff Granite Bay Svc Ctr","4120 Douglas Blvd # 303","Granite Bay","95746-5936","CA"
"Wheatland Police Dept","413 2nd St","Wheatland","95692-9457","CA"
"Municipal Court Criminal Div","4130 Overland Ave","Culver City","90230-3788","CA"
"Tulare Sheriff's Office","41414 Road 128","Orosi","93647-2211","CA"
"Police Dept","415 Bassett St","King City","93930-2988","CA"
"Superior Court-Criminal Record","415 W Ocean Blvd # 405","Long Beach","90802-4545","CA"
"Municipal Courts-Criminal Info","415 W Ocean Blvd","Long Beach","90802-4512","CA"
"Yolo County Sheriff-Civil Div","41793 Gibson Rd","Woodland","95776-9327","CA"
"Manhattan Beach Police Dept","420 15th St","Manhattan Beach","90266-4607","CA"
"Calexico Police Dept-Pal Ofc","420 E 5th St","Calexico","92231-2894","CA"
"Dinuba Police Dept","420 E Tulare St","Dinuba","93618-2309","CA"
"Capitola Police Dept","422 Capitola Ave","Capitola","95010-3397","CA"
"Imperial City Police Dept","424 S Imperial Ave","Imperial","92251-1637","CA"
"Ventura CO Criminal Justice","425 Durley Ave","Camarillo","93010-9100","CA"
"Hanford Police Dept","425 N Irwin St","Hanford","93230-4425","CA"
"Anaheim Police Dept","425 S Harbor Blvd","Anaheim","92805-3773","CA"
"Police Dept","4275 Eastgate Mall","La Jolla","92037-1338","CA"
"Santa Paula Police Dare","431 N 13th St","Santa Paula","93060-2303","CA"
"San Diego Police Dept","4310 Landis St","San Diego","92105-2612","CA"
"Maywood Police Dept","4317 Slauson Ave","Maywood","90270-2841","CA"
"Stanislaus County Sheriff","4326 Main St # E","Denair","95316-9592","CA"
"Los Angeles County Sheriff","4331 Lennox Blvd","Inglewood","90304-2367","CA"
"Riverside County Sheriff Dept","43950 Acacia Ave","Hemet","92544-5395","CA"
"Seaside Police Dept","440 Harcourt Ave","Seaside","93955-4708","CA"
"Etna Police Dept","440 Main","Etna","96027-0000","CA"
"Santa Barbara Criminal Records","4434 Calle Real","Santa Barbara","93110-1002","CA"
"Santa Barbara Sheriff-Jail","4436 Calle Real","Santa Barbara","93110-1002","CA"
"Police Dept Community Relation","4439 Olney St","San Diego","92109-4741","CA"
"Los Banos Police Dept","444 J St","Los Banos","93635-4141","CA"
"Covina Police Dept Jail Info","444 N Citrus Ave","Covina","91723-2065","CA"
"Merced County Sheriff","445 I St","Los Banos","93635-4116","CA"
"San Diego Community Relations","446 26th St","San Diego","92102-3026","CA"
"Sutter County Criminal Court","446 2nd St","Yuba City","95991-5525","CA"
"Hawthorne City Police Svc","4460 W 126th St","Hawthorne","90250-4402","CA"
"Guadalupe Police Dept","4490 10th St","Guadalupe","93434-1420","CA"
"Indian Wells Sheriff's Dept","44950 El Dorado Dr","Indian Wells","92210-7414","CA"
"Municipal Court-Criminal","45 Civic Ave","Pittsburg","94565-3814","CA"
"Police-Evidence & Property","450 E Latham Ave","Hemet","92543-4224","CA"
"Belvedere Police Dept","450 San Rafael Ave","Belvedere Tibrn","94920-2336","CA"
"Los Angeles County Sheriff","4500 City Terrace Dr","Los Angeles","90063-1010","CA"
"Sheriff's Dept","451 4th St","Hollister","95023-3840","CA"
"La County Mira Loma Sheriff","45100 60th St W","Lancaster","93536-7607","CA"
"Oakland Police Youth Svc Div","455 7th St # 425","Oakland","94607-3940","CA"
"Oakland Police Dept","455 7th St","Oakland","94607-3985","CA"
"Los Angeles County Sheriff","4554 Briggs Ave","La Crescenta","91214-3101","CA"
"Folsom City Police Admin","46 Natoma St","Folsom","95630-2614","CA"
"Richmond Police Station","461 6th Ave","San Francisco","94118-3009","CA"
"Stanislaus County Sheriff","4613 Broadway","Salida","95368-9308","CA"
"Riverside Cnty Criminal Court","46200 Oasis St # 314","Indio","92201-5903","CA"
"Beverly Hills Police","464 N Rexford Dr","Beverly Hills","90210-4873","CA"
"Indio Police Chief","46800 Jackson St","Indio","92201-6040","CA"
"Police Dept Community Relation","4690 Market St","San Diego","92102-4761","CA"
"Tulelake Police Dept","470 C St","Tulelake","96134-0000","CA"
"Merced Police Dept","470 W 11th St","Merced","95340-6046","CA"
"Los Angeles County Sheriff","4700 W Ramona Blvd Fl 4","Monterey Park","91754-2156","CA"
"County Sheriff Recruitment","4700 W Ramona Blvd","Monterey Park","91754-2156","CA"
"San Diego Police Dept","4731 Clairemont Dr","San Diego","92117-2743","CA"
"Municipal Court-Criminal Div","475 E 10th St","Tracy","95376-4007","CA"
"Sheriff Dept","4755 Shasta Dam Blvd","Shasta Lake","96019-9433","CA"
"Big Bear Lake Police Dept","477 Summit Blvd","Big Bear Lake","92315-0000","CA"
"San Francisco Police Dept","480 2nd St # 100","San Francisco","94107-1429","CA"
"Long Beach Police-East Substa","4800 E Los Coyotes Diagonal","Long Beach","90815-2827","CA"
"Pleasanton Police Dept","4833 Bernal Ave","Pleasanton","94566-1220","CA"
"San Diego Community Relations","4844 University Ave # 110","San Diego","92105-8021","CA"
"Los Angeles Police Dept","4861 Venice Blvd","Los Angeles","90019-5664","CA"
"Long Beach Police-North Substa","4891 Atlantic Ave","Long Beach","90807-1421","CA"
"Pomona Police Detective Svc","490 W Mission Blvd","Pomona","91766-1608","CA"
"Madera County Sheriff","490743 Civic Cir","Oakhurst","93644-0000","CA"
"Mariposa County Sheriff's Ofc","4963 10th St","Mariposa","95338-0000","CA"
"San Diego Police Dept","5 Horton Plz","San Diego","92101-6143","CA"
"Sheriff-Civil Div","50 Abernathy Ln","Quincy","95971-9715","CA"
"Brisbane Police Dept","50 Park Ln","Brisbane","94005-1310","CA"
"San Diego County Sheriff","500 3rd Ave","Chula Vista","91910-5646","CA"
"Amador County Criminal Court","500 Argonaut Ln","Jackson","95642-9534","CA"
"Brentwood Police Dept","500 Chestnut St","Brentwood","94513-1304","CA"
"Avenal Sheriff Dept","501 E Kings St","Avenal","93204-1732","CA"
"Lancaster Police Dept","501 W Lancaster Blvd","Lancaster","93534-2515","CA"
"L A County Sheriff","5019 E 3rd St","Los Angeles","90022-1632","CA"
"Tehama County Sheriff","502 Oak St","Red Bluff","96080-3356","CA"
"Laguna Beach Police-Parking","505 Forest Ave","Laguna Beach","92651-2332","CA"
"Los Angeles County Sheriff","505 S Centre St # 206","San Pedro","90731-3332","CA"
"Los Angeles County Criminal Ct","505 S Centre St","San Pedro","90731-3332","CA"
"Irwindale City Police Dept","5050 Irwindale Ave","Irwindale","91706-2133","CA"
"Security Police","510 Airlift Dr","Travis Afb","94535-2443","CA"
"Danville Police Dept","510 La Gonda Way","Danville","94526-1742","CA"
"Montclair City Police Dept","5111 Benito St","Montclair","91763-2808","CA"
"Imperial County Sheriff","513 2nd Ave","Winterhaven","92283-0000","CA"
"La Cnty","5130 Clark Ave","Lakewood","90712-2605","CA"
"Woodland Police Dept","520 Court St","Woodland","95695-3424","CA"
"San Diego Police Dept West Div","5215 Gaines St","San Diego","92110-2639","CA"
"Fillmore Police Dept","524 Sespe Ave","Fillmore","93015-1993","CA"
"Martinez Police Dept","525 Henrietta St","Martinez","94553-2395","CA"
"Cypress Police Dept","5275 Orange Ave","Cypress","90630-2957","CA"
"Municipal Court-Criminal Div","530 Union Ave # 200","Fairfield","94533-6306","CA"
"San Diego County Sheriff Dept","531 Sweetwater Rd","Spring Valley","91977-5627","CA"
"San Diego Police Dept","5319 Orange Ave","San Diego","92115-6016","CA"
"Colusa County Sheriff-Civil","532 Oak St","Colusa","95932-2539","CA"
"Alameda County Sheriff's Dept","5325 Broder Blvd","Dublin","94568-3309","CA"
"Half Moon Bay Police Dept","537 Kelly St","Half Moon Bay","94019-1719","CA"
"Long Beach Police-Storefront","539 W 9th St","Long Beach","90813-4173","CA"
"Hermosa Beach Police Dept","540 Pier Ave","Hermosa Beach","90254-3893","CA"
"Concord Police Dept","5400 Ygnacio Valley Rd # A8b","Concord","94521-3834","CA"
"Glenn County Sheriff's Office","543 W Oak St","Willows","95988-2939","CA"
"Stanislaus County Sheriff","5463 7th St","Keyes","95328-0000","CA"
"Santa Clara County Sheriff","55 W Younger Ave","San Jose","95110-1712","CA"
"West Sacramento Police Dept","550 Jefferson Blvd","Broderick","95605-2349","CA"
"Weed City Police Dept","550 Main St","Weed","96094-2330","CA"
"Orange County Sheriff","550 N Flower St","Santa Ana","92703-2361","CA"
"Inyo County Sheriff","550 S Clay St","Independence","93526-0000","CA"
"Atascadero Police Dept","5505 El Camino Real","Atascadero","93422-3371","CA"
"Sacramento County Sheriff Dept","5510 Garfield Ave","Sacramento","95841-2909","CA"
"Red Bluff Police Records","555 Washington St","Red Bluff","96080-3433","CA"
"Police Administration","5595 Black Olive Dr","Paradise","95969-4606","CA"
"Maywood City Police Yard","5600 Heliotrope Ave","Maywood","90270-3025","CA"
"San Diego Cnty Sheriff's Dept","565 Palm Canyon Dr","Borrego Springs","92004-0000","CA"
"San Bruno Police Dept","567 El Camino Real","San Bruno","94066-4247","CA"
"Costa Mesa Police Dept","567 W 18th St","Costa Mesa","92627-2760","CA"
"Alameda County Sheriff's Dept","5672 Stoneridge Dr","Pleasanton","94588-8560","CA"
"San Bernardino Police Officers","568 N Mountain View Ave","San Bernardino","92401-1218","CA"
"Mammoth Lakes Police Dept","568 Old Mammoth Rd","Mammoth Lakes","93546-0000","CA"
"Thermal Ofc Community Svc","56850 Tyler St","Thermal","92274-9702","CA"
"Claremont City Police Dept","570 W Bonita Ave","Claremont","91711-4626","CA"
"Carpinteria Police Dept","5775 Carpinteria Ave","Carpinteria","93013-2603","CA"
"Pacific Grove Police Dept","580 Pine Ave","Pacific Grove","93950-3335","CA"
"Sheriff Dept-Civil Div","589 Low Gap Rd","Ukiah","95482-3734","CA"
"Siskiyou County Sheriffs Ofc","5902 Dunsmuir Ave","Dunsmuir","96025-2332","CA"
"Etna Sheriff","591 Collier Way","Etna","96027-0000","CA"
"La Mesa Police-Retired Senior","5915 Severin Dr","La Mesa","91942-3806","CA"
"Santa Ana Police Community","60 Civic Center Plz","Santa Ana","92701-4010","CA"
"Modesto Police DEPT-Dare","600 10th St","Modesto","95354-3506","CA"
"Sonoma County Sheriff","600 Administration Dr # 103j","Santa Rosa","95403-2874","CA"
"Los Angeles County Criminal Ct","600 E Broadway","Glendale","91206-4304","CA"
"San Carlos Police Dept","600 Elm St","San Carlos","94070-3018","CA"
"District Attorney-Criminal Div","600 Union Ave","Fairfield","94533-6324","CA"
"Clayton City Police Dept","6000 Heritage Trl","Clayton","94517-1249","CA"
"Modesto Police Dept-Patrol","601 11th St","Modesto","95354-3510","CA"
"Santa Clara Police Dept","601 El Camino Real","Santa Clara","95050-4307","CA"
"Eureka Police Chief","604 C St","Eureka","95501-0341","CA"
"California Correctional Peace","6041 N 1st St","Fresno","93710-5444","CA"
"Modesto Police Dept-Traffic","610 10th St","Modesto","95354-3506","CA"
"Merced Police Dept","611 W 22nd St","Merced","95340-3737","CA"
"San Diego Police Dept","615 Prospect St","La Jolla","92037-4226","CA"
"Kern County Sheriff's Dept","617 Monterey Trl # C","Frazier Park","93225-0000","CA"
"Police Dept-Crime Prvntn","621 11th St","Fortuna","95540-2346","CA"
"Millbrae City Police Dept","621 Magnolia Ave","Millbrae","94030-1852","CA"
"Citrus Heights Police Dept","6229 Fountain Square Dr","Citrus Heights","95621-5577","CA"
"Valley Traffic Div-Detectives","6240 Sylmar Ave","Van Nuys","91401-2707","CA"
"San Gabriel Police Dept","625 S Del Mar Ave","San Gabriel","91776-2409","CA"
"Alameda Cnty Sheriff Training","6280 Madigan Dr","Dublin","94568-0000","CA"
"Vacaville Police Dept","630 Merchant St","Vacaville","95688-6908","CA"
"Mission Police Station","630 Valencia St","San Francisco","94110-1126","CA"
"Bell Police Dept","6326 Pine Ave","Bell","90201-1290","CA"
"S F Sheriff Dept-Civil Div","633 Folsom St # 200","San Francisco","94107-3600","CA"
"Ventura Police Dept","6368 Bristol Rd","Ventura","93003-6710","CA"
"Tulare County Sheriff's Office","640 S Alta Ave","Dinuba","93618-2654","CA"
"Contra Costa Cnty Criminal Ct","640 Ygnacio Valley Rd","Walnut Creek","94596-3820","CA"
"Los Angeles Police Dept","6464 W Sunset Blvd","Los Angeles","90028-8001","CA"
"Humboldt County Sheriff's Dept","648 Locust St","Garberville","95542-3228","CA"
"Pittsburg Police Dept","65 Civic Ave","Pittsburg","94565-3814","CA"
"San Luis Obispo Sheriff","65 N Main St # 105","Templeton","93465-0000","CA"
"Sheriff Office-Civil Div","650 5th St","Crescent City","95531-3918","CA"
"Del Rey Oaks Police Dept","650 Canyon Del Rey Blvd","Del Rey Oaks","93940-5505","CA"
"Colton Police Dept","650 N La Cadena Dr","Colton","92324-2823","CA"
"County Crime Lab Central Id","651 Pine St","Martinez","94553-1229","CA"
"San Bernardino Sheriff's Dept","6527 White Feather Rd","Joshua Tree","92252-6604","CA"
"Huntington Park Police Dept","6542 Miles Ave","Huntington Park","90255-4386","CA"
"Isla Vista Foot Patrol","6546 Pardall Rd # A","Goleta","93117-4842","CA"
"Los Angeles County Sheriff","6548 Miles Ave","Huntington Park","90255-4318","CA"
"Grand Terrace Police Dept","655 E 3rd St","San Bernardino","92415-1017","CA"
"Criminal Courts","655 Oleander Ave","Chico","95926-3924","CA"
"Yountville Sheriff","6550 Yount St","Yountville","94599-1271","CA"
"Lemoore Police-Animal Control","657 Fox St","Lemoore","93245-2602","CA"
"Desert Hot Springs Sheriff","65950 Pierson Blvd","Desert Hot Spgs","92240-3006","CA"
"Beaumont City Police Dept","660 Orange Ave","Beaumont","92223-2200","CA"
"Merced County Sheriff's Office","6600 N Winton Way","Winton","95388-0000","CA"
"Police Dept","663 E San Ysidro Blvd","San Ysidro","92173-3112","CA"
"Pico Rivera Sheriff Dept","6631 Passons Blvd","Pico Rivera","90660-3645","CA"
"Buena Park Police Dept","6650 Beach Blvd","Buena Park","90621-2905","CA"
"San Mateo Criminal Justice","666 Elm St","San Carlos","94070-3018","CA"
"Municipal Court-Criminal","670 W 22nd St","Merced","95340-3730","CA"
"Riverbank Police Dept","6727 3rd St","Riverbank","95367-2305","CA"
"Rio Dell Police Dept","675 Wildwood Ave","Rio Dell","95562-1598","CA"
"Police Dept","680 S Alta Ave","Visalia","93277-0000","CA"
"Cathedral Police Dept-North","68100 Ramon Rd","Cathedral City","92234-3387","CA"
"Gustine Police Dept","682 3rd Ave","Gustine","95322-1102","CA"
"Gridley Police Dept","685 Kentucky St","Gridley","95948-2117","CA"
"Sebastopol Police Dept","6850 Laguna Pkwy","Sebastopol","95472-3474","CA"
"Crescent City Police","686 G St","Crescent City","95531-3738","CA"
"Cathedral City Police Dept","68700 Avenida Lalo Guerrero","Cathedral City","92234-1208","CA"
"Williams Police Dept","688 7th St","Williams","95987-0000","CA"
"Cathedral Police Dept-South","69038 E Palm Canyon Dr","Cathedral City","92234-1423","CA"
"San Diego Police Dept","6919 Paradise Valley Rd # 9","San Diego","92139-1225","CA"
"Campbell Police Dept","70 N 1st St","Campbell","95008-1497","CA"
"Santa Barbara County Sheriff","70 Newsome St","Cuyama","93254-9711","CA"
"Amador County Sheriff","700 Court St","Jackson","95642-2130","CA"
"Police Dept Range","700 John Muir Dr","San Francisco","94132-0000","CA"
"Coronado Police Dept","700 Orange Ave","Coronado","92118-2234","CA"
"Mendocino County Sheriff","700 S Franklin St # 110","Fort Bragg","95437-5464","CA"
"Sheriff-Detective Div","700 W 22nd St","Merced","95340-3638","CA"
"Escondido Police Dept","700 W Grand Ave","Escondido","92025-2595","CA"
"Sheriff's Department-Civil Svc","7000 Michael Canlis Way","French Camp","95231-9781","CA"
"Sheriff's Dept","7000 S Center Dr","Clearlake","95422-8131","CA"
"Police Dept-Crime Prevention","701 Civic Center Blvd","Suisun City","94585-2617","CA"
"Menlo Park Police Dept Records","701 Laurel St","Menlo Park","94025-3469","CA"
"Santa Cruz County Criminal","701 Ocean St # 250","Santa Cruz","95060-4012","CA"
"Santa Cruz County Sheriff","701 Ocean St # 340","Santa Cruz","95060-4074","CA"
"Hughson Police Dept","7018 Pine","Hughson","95326-0000","CA"
"Merced County Sheriff's Office","7025 Atwater Jordan Rd","Atwater","95301-9310","CA"
"Kern County Sheriff's Office","7050 Lake Isabella Blvd","Lake Isabella","93240-9203","CA"
"San Bernardino Police Dept","710 N D St","San Bernardino","92401-1112","CA"
"Bell Gardens City Police Dept","7100 Garfield Ave","Bell Gardens","90201-3253","CA"
"Sacramento County Sheriff Dept","711 G St","Sacramento","95814-1212","CA"
"Grover Beach Police Dept","711 Rockaway Ave","Grover Beach","93433-2007","CA"
"Sacramento County Sheriff Dept","720 9th St","Sacramento","95814-1302","CA"
"San Diego Police Dept","7222 Skyline Dr","San Diego","92114-5933","CA"
"Azusa Police Dept Records","725 N Alameda Ave","Azusa","91702-2562","CA"
"Placerville City Police Dept","730 Main St","Placerville","95667-5718","CA"
"Sanger Police-Project Amigo","730 Recreation Ave","Sanger","93657-2556","CA"
"Whittier Police Dept","7315 Painter Ave","Whittier","90602-1892","CA"
